snapshot_date,brand,model,mechanic,retail_usd,credit_usd,monthly_high_usd,monthly_mid_usd,monthly_low_usd,on_us_high,on_us_mid,on_us_low,plan,line_action,trade_in_required,any_condition,tiv,term_months,headline,source_url,confidence
2026-08-18,Apple,iPhone 16 Pro (Certified Pre-Owned),EIP,699.99,699.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $699.99. Online only. Save $699.99. Online only.,https://www.verizon.com/smartphones/smartphones/apple-iphone-16-pro-certified-pre-owned/,High
2026-08-18,Apple,iPhone 16 Pro Max,EIP,1099.99,300.0,22.22,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $300 on a Smartwatch Save up to $300 on a Smartwatch Save up to $300 on a Smartwatch,https://www.verizon.com/smartphones/smartphones/apple-iphone-16-pro-max/,High
2026-08-18,Apple,iPhone 16 Pro Max (Certified Pre-Owned),EIP,823.99,823.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $823.99. Online only. Save $823.99. Online only.,https://www.verizon.com/smartphones/smartphones/apple-iphone-16-pro-max-certified-pre-owned/,High
2026-08-18,Apple,iPhone 16e,EIP,599.99,300.0,8.33,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $300 on a Smartwatch Save up to $300 on a Smartwatch Save up to $300 on a Smartwatch,https://www.verizon.com/smartphones/smartphones/apple-iphone-16e/,High
2026-08-18,Apple,iPhone 16e (Certified Pre-Owned),EIP,642.99,642.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $642.99. Online only. Save $642.99. Online only.,https://www.verizon.com/smartphones/smartphones/apple-iphone-16e-certified-pre-owned/,High
2026-08-18,Apple,iPhone 17,EIP,829.99,830.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $830. Save $830.,https://www.verizon.com/smartphones/smartphones/apple-iphone-17/,High
2026-08-18,Apple,iPhone 17 Pro,EIP,1099.99,1000.0,2.77,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $1000. Save $1000.,https://www.verizon.com/smartphones/smartphones/apple-iphone-17-pro/,High
2026-08-18,Apple,iPhone 17 Pro Max,EIP,1199.99,1000.0,5.55,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $1000. Save $1000.,https://www.verizon.com/smartphones/smartphones/apple-iphone-17-pro-max/,High
2026-08-18,Apple,iPhone 17e,EIP,599.99,600.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $600. Save $600.,https://www.verizon.com/smartphones/smartphones/apple-iphone-17e/,High
2026-08-18,Apple,iPhone Air,EIP,999.99,1000.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $1000. Save $1000.,https://www.verizon.com/smartphones/smartphones/apple-iphone-air/,High
2026-08-18,Apple,iPhone SE (3rd Gen) (Certified Pre-Owned),EIP,92.99,300.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $300 on a Smartwatch Save up to $300 on a Smartwatch Save up to $300 on a Smartwatch,https://www.verizon.com/smartphones/smartphones/apple-iphone-se-3rd-gen-certified-pre-owned/,High
2026-08-18,Google,Pixel 10,EIP,799.99,650.0,4.16,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-10/,High
2026-08-18,Google,Pixel 10 Pro,EIP,999.99,650.0,9.71,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-10-pro/,High
2026-08-18,Google,Pixel 10 Pro Fold,EIP,1799.99,650.0,31.93,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $650 on a Tablet Save up to $650 on a Tablet Save up to $650 on a Tablet,https://www.verizon.com/smartphones/smartphones/google-pixel-10-pro-fold/,High
